发生日期,基金编号,基金名称,证券代码,证券名称,委托方向,成交数量,成交金额,成交次数,成交均价,成交最低价,成交最高价,市场成交均价,最新价,数量成交比例(%),持仓,市场成交金额,成交均价(全价),交易市场,市场成交数量,组合编号,组合名称,委托数量,市场最高价,市场最低价,委托次数,交易员,资产类别,涨跌幅(%),金额成交比例(%),价格差额比例(%),指令数量,资产单元序号,资产单元名称,币种,交易席位,投资类型,资产单元编号,股东代码,成交量占昨日持仓量(%),指令下达人,本币币种,本币成交金额,指令操作级别,账户组类型,账户组,成交金额占净值(%),券商编号,券商名称,业务分类
2012-12-11,3,德邦佰睿吉1号,002587,奥拓电子,买入,200000,2400000,7,12,12,12,11.93,11.85,2.6961,601500,88510356.3,12,深交所A,7418067,30000000,缺省组合,200000,12.45,11.25,9,罗韵峰,股票资产,3.7653,2.7115,-0.5724,200000,2,缺省单元,人民币,210301,可交易,77010500,N/A,49.8132005,余鹏举,人民币,2400000,无, , ,6.5217,,,交易所业务
2012-12-12,1,德邦优化配置,601166,兴业银行,卖出,150000,2146500,32,14.31,14.31,14.31,14.18,14.16,0.2086,50000,1019705833,14.31,上交所A,71919948,10000000,缺省组合,200000,14.34,14.02,4,罗韵峰,股票资产,0.8547,0.2105,0.9289,200000,1,缺省单元,人民币,24978,可交易,1,N/A,75,白仲光-基金经理,人民币,2146500,无, , ,1.5470,,,交易所业务
2012-12-12,3,德邦佰睿吉1号,002587,奥拓电子,买入,18990,226490,9,11.92680358,11.9,11.95,11.78,11.92,0.5458,620490,40973803.7,11.92680358,深交所A,3479520,30000000,缺省组合,18990,12.08,11.55,4,罗韵峰,股票资产,0.5907,0.5528,-1.2832,19000,2,缺省单元,人民币,210301,可交易,77010500,N/A,3.157107232,余鹏举,人民币,226490,无, , ,0.6093,,,交易所业务
2012-12-13,1,德邦优化配置,600111,包钢稀土,买入,100000,3232143,62,32.32143,32.16,32.45,32.25,31.89,0.4066,100000,793063567,32.32143,上交所A,24594545,10000000,缺省组合,100000,32.76,31.86,10,罗韵峰,股票资产,-2.6557,0.4076,-0.2354,100000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3232143,无, , ,2.3628,,,交易所业务
2012-12-13,1,德邦优化配置,600259,广晟有色,买入,100000,3904010,25,39.0401,39,39.2,39.04,38.41,3.0234,100000,129128751,39.0401,上交所A,3307520,10000000,缺省组合,100000,39.9,38.36,12,罗韵峰,股票资产,-3.0295,3.0233,0.0023,100000,1,缺省单元,人民币,24978,可交易,1,N/A,0,白仲光-基金经理,人民币,3904010,无, , ,2.8540,,,交易所业务
2012-12-13,1,德邦优化配置,600884,杉杉股份,买入,50000,435000,10,8.7,8.7,8.7,8.83,8.81,1.0841,449956,4.07E+07,8.7,上交所A,4612242,10000000,缺省组合,200000,9,8.7,3,罗韵峰,股票资产,-2.7594,1.0687,1.4164,200000,1,缺省单元,人民币,24978,可交易,1,N/A,12.50137515,白仲光-基金经理,人民币,435000,无, , ,0.3180,,,交易所业务
2012-12-13,1,德邦优化配置,002672,东江环保,买入,20000,1049951,14,52.49755,52.48,52.5,52.35,52.5,8.985,93000,11653688.61,52.49755,深交所A,222594,10000000,缺省组合,20000,53.2,51.7,4,罗韵峰,股票资产,-0.9247,9.0096,-0.2741,20000,1,缺省单元,人民币,391852,可交易,1,N/A,27.39726027,白仲光-基金经理,人民币,1049951,无, , ,0.7676,,,交易所业务
2012-12-13,3,德邦佰睿吉1号,002587,奥拓电子,买入,10000,117000,4,11.7,11.7,11.7,11.64,11.39,0.2392,630490,48677425.27,11.7,深交所A,4180548,30000000,缺省组合,10000,11.85,11.38,1,罗韵峰,股票资产,-4.4463,0.2404,-0.4827,10000,2,缺省单元,人民币,210301,可交易,77010500,N/A,1.611629519,余鹏举,人民币,117000,无, , ,0.3211,,,交易所业务
2012-12-14,1,德邦优化配置,122883,10楚雄债,债券卖出,50000,4890038.6,95,97.800772,97.8,97.85,97.83,97.83,38.4408,0,12725341,98.76690899,上交所A,130070,10000000,缺省组合,50000,97.95,97.79,42,罗韵峰,债券资产,-0.0204,38.4276,-0.0345,50000,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,4890038.6,无, , ,3.4803,,,交易所业务
2012-12-14,1,德邦优化配置,600036,招商银行,卖出,199935,2243270.7,11,11.22,11.22,11.22,11.42,11.7,0.1212,0,1884483350,11.22,上交所A,165003971,10000000,缺省组合,199935,11.75,10.92,1,罗韵峰,股票资产,7.6357,0.119,-1.7582,199935,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,2243270.7,无, , ,1.5966,,,交易所业务
2012-12-14,1,德邦优化配置,601166,兴业银行,卖出,50000,715000,1,14.3,14.3,14.3,14.68,15.2,0.0293,0,2504201884,14.3,上交所A,170600782,10000000,缺省组合,50000,15.32,13.92,1,罗韵峰,股票资产,9.117,0.0286,-2.5799,50000,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,715000,无, , ,0.5089,,,交易所业务
2012-12-14,1,德邦优化配置,601877,正泰电器,卖出,139382,2325219.85,99,16.68235389,16.65,16.75,16.99,17.18,4.5078,0,52548560,16.68235389,上交所A,3092022,10000000,缺省组合,139382,17.2,16.55,28,罗韵峰,股票资产,2.9359,4.4249,-1.8388,139382,1,缺省单元,人民币,24978,可交易,1,N/A,100,白仲光-基金经理,人民币,2325219.85,无, , ,1.6549,,,交易所业务
